n,divAndConTime,bruteForceTime
420,0.03514519999953336,0.4053859999985434
421,0.04623569999967003,0.4156565999983286
422,0.04810160000124597,0.42544009999983246
423,0.04968860000008135,0.42489930000010645
424,0.04681400000117719,0.4128588999992644
425,0.04804109999895445,0.4260141000013391
426,0.04817840000032447,0.4329359999974258
427,0.04193909999958123,0.4274178000014217
428,0.03879140000208281,0.4374257999988913
429,0.0386480000015581,0.45964200000162236
430,0.04522759999963455,0.4441704999990179
431,0.04444429999784916,0.4313220999974874
432,0.05046819999915897,0.4545737000007648
433,0.041001500001584645,0.424050099998567
434,0.05158169999776874,0.4402031999998144
435,0.03851070000018808,0.45303969999804394
436,0.0494951000000583,0.42971269999907236
437,0.04766319999907864,0.4906555000015942
438,0.04615689999991446,0.4532787999996799
439,0.04647280000062892,0.44853299999886076
440,0.04947510000056354,0.44880149999880814
441,0.04036390000328538,0.4518276999988302
442,0.043820200000482146,0.45934979999947245
443,0.04897479999999632,0.4576411999987613
444,0.047887299999274546,0.4717720999979065
445,0.0490083999975468,0.46707769999920856
446,0.04774869999891962,0.486104499999783
447,0.05038780000177212,0.4803100999997696
448,0.04469099999914761,0.49799690000145347
449,0.056992099998751655,0.48909740000090096
450,0.04759149999881629,0.4677111999990302
451,0.049399800001992844,0.48825529999885475
452,0.044241399999009445,0.49726490000102785
453,0.04718669999783742,0.4674680999996781
454,0.06520919999820762,0.4781139999977313
455,0.04801779999979772,0.47782919999735896
456,0.05279330000121263,0.48955950000163284
457,0.056774000000586966,0.4788942999985011
458,0.047868300000118325,0.5230766999993648
459,0.06866600000284961,0.4921902999994927
460,0.0445869999966817,0.495597799999814
461,0.054330799997842405,0.5307608000002801
462,0.05654770000182907,0.4858717000024626
463,0.053781300000991905,0.516413500001363
464,0.0586431999981869,0.5279991999996128
465,0.05611270000008517,0.5127395999988948
466,0.047587600001861574,0.4972155000032217
467,0.05818060000092373,0.5217565000020841
468,0.04900989999805461,0.49641520000295714
469,0.051630199999635806,0.5262638999993214
470,0.04899440000008326,0.5333191999998235
471,0.06526960000337567,0.5492450000019744
472,0.06365899999946123,0.5625473999971291
473,0.05153900000004796,0.5417173999994702
474,0.05580499999996391,0.5137553999993543
475,0.05765929999688524,0.5185593999995035
476,0.05810550000023795,0.517219400000613
477,0.059973100000206614,0.5619193999991694
478,0.06506159999844385,0.5674824000016088
479,0.06819630000245525,0.555934599997272
480,0.04545289999805391,0.5234134999991511
481,0.0585903999999573,0.5193276000027254
482,0.053631799997674534,0.5451968999987002
483,0.0473048000021663,0.5341728999992483
484,0.05672930000218912,0.5518416999984765
485,0.05706560000180616,0.6163424000005762
486,0.06833740000001853,0.5925212999973155
487,0.059058499999082414,0.5918296999989252
488,0.05595000000175787,0.564929200001643
489,0.058097699999052566,0.5954959000009694
490,0.07024030000320636,0.5820958999975119
491,0.05742869999812683,0.5481649000030302
492,0.05650420000165468,0.5853420999992522
493,0.06030240000109188,0.6003880999996909
494,0.06098759999804315,0.6000047999987146
495,0.05068849999952363,0.6018232999995234
496,0.06916499999715597,0.5614550999998755
497,0.06031830000210903,0.5645325000004959
498,0.06015289999777451,0.5593666999993729
499,0.05271050000010291,0.5779328999997233
500,0.06776139999783481,0.5716453000022739
501,0.0517266999995627,0.5880483000000822
502,0.07002690000081202,0.6128995999970357
503,0.05735520000234828,0.5866205000020273
504,0.06623219999892171,0.5838053000006767
505,0.06154499999684049,0.5789148999974714
